,Name,DT Name,SnapPy Name,Stage 1,MDP,4DCrossCap (KnotInfo),4DCrossCap (Model)
3106,13a_130,13a_130,K13a130,Fail,N/A,,
3107,13a_131,13a_131,K13a131,Fail,N/A,,
3108,13a_132,13a_132,K13a132,Fail,N/A,,
3109,13a_133,13a_133,K13a133,Fail,N/A,,
3110,13a_134,13a_134,K13a134,Fail,N/A,,
3111,13a_135,13a_135,K13a135,Fail,N/A,,
3112,13a_136,13a_136,K13a136,Fail,N/A,,
3113,13a_137,13a_137,K13a137,Fail,N/A,,
3114,13a_138,13a_138,K13a138,Fail,N/A,,
3115,13a_139,13a_139,K13a139,Success,N/A,,1
3116,13a_140,13a_140,K13a140,Fail,N/A,,
3117,13a_141,13a_141,K13a141,Fail,N/A,,
3118,13a_142,13a_142,K13a142,Fail,N/A,,
3119,13a_143,13a_143,K13a143,Success,N/A,,1
3120,13a_144,13a_144,K13a144,Success,N/A,,1
3121,13a_145,13a_145,K13a145,Success,N/A,,1
3122,13a_146,13a_146,K13a146,Success,N/A,,1
3123,13a_147,13a_147,K13a147,Success,N/A,,1
3124,13a_148,13a_148,K13a148,Success,N/A,,1
3125,13a_149,13a_149,K13a149,Fail,N/A,,
3126,13a_150,13a_150,K13a150,Fail,N/A,,
3127,13a_151,13a_151,K13a151,Fail,N/A,,
3128,13a_152,13a_152,K13a152,Fail,N/A,,
3129,13a_153,13a_153,K13a153,Success,N/A,,1
3130,13a_154,13a_154,K13a154,Fail,N/A,,
3131,13a_155,13a_155,K13a155,Success,N/A,,1
3132,13a_156,13a_156,K13a156,Fail,N/A,,
3133,13a_157,13a_157,K13a157,Fail,N/A,,
3134,13a_158,13a_158,K13a158,Fail,N/A,,
3135,13a_159,13a_159,K13a159,Success,N/A,,1
3136,13a_160,13a_160,K13a160,Fail,N/A,,
3137,13a_161,13a_161,K13a161,Fail,N/A,,
3138,13a_162,13a_162,K13a162,Fail,N/A,,
3139,13a_163,13a_163,K13a163,Success,N/A,,1
3140,13a_164,13a_164,K13a164,Success,N/A,,1
3141,13a_165,13a_165,K13a165,Success,N/A,,1
3142,13a_166,13a_166,K13a166,Fail,N/A,,
3143,13a_167,13a_167,K13a167,Fail,N/A,,
3144,13a_168,13a_168,K13a168,Fail,N/A,,
3145,13a_169,13a_169,K13a169,Success,N/A,,1
3146,13a_170,13a_170,K13a170,Fail,N/A,,
3147,13a_171,13a_171,K13a171,Fail,N/A,,
3148,13a_172,13a_172,K13a172,Success,N/A,,1
3149,13a_173,13a_173,K13a173,Fail,N/A,,
3150,13a_174,13a_174,K13a174,Success,N/A,,1
3151,13a_175,13a_175,K13a175,Success,N/A,,1
3152,13a_176,13a_176,K13a176,Success,N/A,,1
3153,13a_177,13a_177,K13a177,Success,N/A,,1
3154,13a_178,13a_178,K13a178,Success,N/A,,1
3155,13a_179,13a_179,K13a179,Fail,N/A,,
3156,13a_180,13a_180,K13a180,Fail,N/A,,
3157,13a_181,13a_181,K13a181,Success,N/A,,1
3158,13a_182,13a_182,K13a182,Fail,N/A,,
3159,13a_183,13a_183,K13a183,Fail,N/A,,
3160,13a_184,13a_184,K13a184,Success,N/A,,1
3161,13a_185,13a_185,K13a185,Fail,N/A,,
3162,13a_186,13a_186,K13a186,Fail,N/A,,
3163,13a_187,13a_187,K13a187,Fail,N/A,,
3164,13a_188,13a_188,K13a188,Success,N/A,,1
3165,13a_189,13a_189,K13a189,Fail,N/A,,
3166,13a_190,13a_190,K13a190,Success,N/A,,1
3167,13a_191,13a_191,K13a191,Fail,N/A,,
3168,13a_192,13a_192,K13a192,Fail,N/A,,
3169,13a_193,13a_193,K13a193,Fail,N/A,,
3170,13a_194,13a_194,K13a194,Success,N/A,,1
3171,13a_195,13a_195,K13a195,Fail,N/A,,
3172,13a_196,13a_196,K13a196,Fail,N/A,,
3173,13a_197,13a_197,K13a197,Fail,N/A,,
3174,13a_198,13a_198,K13a198,Fail,N/A,,
3175,13a_199,13a_199,K13a199,Success,N/A,,1
3176,13a_200,13a_200,K13a200,Fail,N/A,,
3177,13a_201,13a_201,K13a201,Fail,N/A,,
3178,13a_202,13a_202,K13a202,Success,N/A,,1
3179,13a_203,13a_203,K13a203,Fail,N/A,,
3180,13a_204,13a_204,K13a204,Success,N/A,,1
3181,13a_205,13a_205,K13a205,Success,N/A,,1
3182,13a_206,13a_206,K13a206,Fail,N/A,,
3183,13a_207,13a_207,K13a207,Success,N/A,,1
3184,13a_208,13a_208,K13a208,Success,N/A,,1
3185,13a_209,13a_209,K13a209,Fail,N/A,,
3186,13a_210,13a_210,K13a210,Fail,N/A,,
3187,13a_211,13a_211,K13a211,Fail,N/A,,
3188,13a_212,13a_212,K13a212,Success,N/A,,1
3189,13a_213,13a_213,K13a213,Success,N/A,,1
3190,13a_214,13a_214,K13a214,Fail,N/A,,
3191,13a_215,13a_215,K13a215,Fail,N/A,,
3192,13a_216,13a_216,K13a216,Success,N/A,,1
3193,13a_217,13a_217,K13a217,Fail,N/A,,
3194,13a_218,13a_218,K13a218,Fail,N/A,,
3195,13a_219,13a_219,K13a219,Success,N/A,,1
3196,13a_220,13a_220,K13a220,Fail,N/A,,
3197,13a_221,13a_221,K13a221,Fail,N/A,,
3198,13a_222,13a_222,K13a222,Success,N/A,,1
3199,13a_223,13a_223,K13a223,Fail,N/A,,
3200,13a_224,13a_224,K13a224,Fail,N/A,,
3201,13a_225,13a_225,K13a225,Fail,N/A,,
3202,13a_226,13a_226,K13a226,Success,N/A,,1
3203,13a_227,13a_227,K13a227,Success,N/A,,1
3204,13a_228,13a_228,K13a228,Fail,N/A,,
3205,13a_229,13a_229,K13a229,Success,N/A,,1
3206,13a_230,13a_230,K13a230,Fail,N/A,,
3207,13a_231,13a_231,K13a231,Fail,N/A,,
